region,measure,value
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatment0to4weeks,405.0
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatment0to6weeks,515.0
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatment0to12weeks,575.0
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatment0to18weeks,580.0
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatmentOver18weeks,5.0
NHS GREATER MANCHESTER ICB - 00V,Count_WaitingForTreatmentOver90days,15.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForAssessment,530.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForAssessmentOver90days,25.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment,515.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment0to2weeks,240.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment0to4weeks,385.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment0to6weeks,465.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment0to12weeks,505.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatment0to18weeks,515.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,Count_WaitingForTreatmentOver90days,10.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForAssessment,905.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForAssessmentOver90days,325.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment,890.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment0to2weeks,305.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment0to4weeks,465.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment0to6weeks,505.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment0to12weeks,540.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatment0to18weeks,555.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatmentOver18weeks,335.0
NHS GREATER MANCHESTER ICB - 00Y,Count_WaitingForTreatmentOver90days,345.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForAssessment,1235.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForAssessmentOver90days,60.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment,1180.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment0to2weeks,500.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment0to4weeks,875.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment0to6weeks,1055.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment0to12weeks,1160.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatment0to18weeks,1165.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatmentOver18weeks,15.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,Count_WaitingForTreatmentOver90days,20.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForAssessment,1210.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForAssessmentOver90days,65.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment,1210.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment0to2weeks,270.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment0to4weeks,510.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment0to6weeks,795.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment0to12weeks,1135.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatment0to18weeks,1175.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatmentOver18weeks,35.0
NHS GREATER MANCHESTER ICB - 01D,Count_WaitingForTreatmentOver90days,70.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForAssessment,720.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForAssessmentOver90days,40.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment,685.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment0to2weeks,290.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment0to4weeks,495.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment0to6weeks,615.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment0to12weeks,675.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatment0to18weeks,680.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatmentOver18weeks,5.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,Count_WaitingForTreatmentOver90days,10.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForAssessment,270.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForAssessmentOver90days,10.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment,260.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment0to2weeks,180.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment0to4weeks,245.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment0to6weeks,255.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment0to12weeks,260.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,Count_WaitingForTreatment0to18weeks,260.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForAssessment,1855.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForAssessmentOver90days,45.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment,1870.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment0to2weeks,865.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment0to4weeks,1365.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment0to6weeks,1625.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment0to12weeks,1820.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatment0to18weeks,1830.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatmentOver18weeks,40.0
NHS GREATER MANCHESTER ICB - 01G,Count_WaitingForTreatmentOver90days,55.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForAssessment,320.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForAssessmentOver90days,5.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment,305.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment0to2weeks,250.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment0to4weeks,300.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment0to6weeks,305.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment0to12weeks,305.0
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,Count_WaitingForTreatment0to18weeks,305.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForAssessment,275.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForAssessmentOver90days,15.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment,260.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment0to2weeks,195.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment0to4weeks,240.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment0to6weeks,250.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment0to12weeks,255.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,Count_WaitingForTreatment0to18weeks,260.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForAssessment,1205.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForAssessmentOver90days,50.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment,1165.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment0to2weeks,365.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment0to4weeks,745.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment0to6weeks,1025.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment0to12weeks,1145.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatment0to18weeks,1155.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatmentOver18weeks,10.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,Count_WaitingForTreatmentOver90days,15.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForAssessment,470.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForAssessmentOver90days,25.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment,450.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment0to2weeks,165.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment0to4weeks,320.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment0to6weeks,415.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment0to12weeks,440.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatment0to18weeks,440.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatmentOver18weeks,5.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,Count_WaitingForTreatmentOver90days,5.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForAssessment,295.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForAssessmentOver90days,25.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment,275.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment0to2weeks,110.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment0to4weeks,200.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment0to6weeks,255.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment0to12weeks,265.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatment0to18weeks,265.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatmentOver18weeks,10.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,Count_WaitingForTreatmentOver90days,10.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForAssessment,1535.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForAssessmentOver90days,25.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment,1530.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment0to2weeks,490.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment0to4weeks,960.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment0to6weeks,1270.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment0to12weeks,1505.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatment0to18weeks,1520.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatmentOver18weeks,15.0
NHS GREATER MANCHESTER ICB - 01W,Count_WaitingForTreatmentOver90days,25.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForAssessment,205.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForAssessmentOver90days,15.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment,195.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment0to2weeks,170.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment0to4weeks,185.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment0to6weeks,185.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment0to12weeks,190.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatment0to18weeks,190.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatmentOver18weeks,5.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,Count_WaitingForTreatmentOver90days,5.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForAssessment,605.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForAssessmentOver90days,5.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment,620.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment0to2weeks,315.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment0to4weeks,495.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment0to6weeks,565.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment0to12weeks,605.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatment0to18weeks,610.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatmentOver18weeks,5.0
NHS GREATER MANCHESTER ICB - 01Y,Count_WaitingForTreatmentOver90days,10.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForAssessment,1040.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForAssessmentOver90days,20.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment,1040.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment0to2weeks,355.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment0to4weeks,690.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment0to6weeks,940.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment0to12weeks,1020.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatment0to18weeks,1030.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatmentOver18weeks,10.0
NHS GREATER MANCHESTER ICB - 02A,Count_WaitingForTreatmentOver90days,20.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForAssessment,440.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForAssessmentOver90days,10.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment,430.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment0to2weeks,170.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment0to4weeks,340.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment0to6weeks,390.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment0to12weeks,425.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatment0to18weeks,425.0
NHS CHESHIRE AND MERSEYSIDE ICB - 02E,Count_WaitingForTreatmentOver90days,5.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForAssessment,280.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForAssessmentOver90days,10.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment,275.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment0to2weeks,165.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment0to4weeks,230.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment0to6weeks,260.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment0to12weeks,270.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatment0to18weeks,270.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,Count_WaitingForTreatmentOver90days,5.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForAssessment,2105.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForAssessmentOver90days,755.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment,2095.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment0to2weeks,445.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment0to4weeks,880.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment0to6weeks,1225.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment0to12weeks,1350.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatment0to18weeks,1355.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatmentOver18weeks,745.0
NHS GREATER MANCHESTER ICB - 02H,Count_WaitingForTreatmentOver90days,745.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForAssessment,690.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForAssessmentOver90days,185.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment,630.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment0to2weeks,180.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment0to4weeks,345.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment0to6weeks,440.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment0to12weeks,500.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatment0to18weeks,510.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatmentOver18weeks,120.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,Count_WaitingForTreatmentOver90days,130.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForAssessment,525.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForAssessmentOver90days,5.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment,515.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment0to2weeks,295.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment0to4weeks,450.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment0to6weeks,495.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment0to12weeks,515.0
NHS SOUTH YORKSHIRE ICB - 02P,Count_WaitingForTreatment0to18weeks,515.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForAssessment,320.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment,315.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment0to2weeks,145.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment0to4weeks,235.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment0to6weeks,300.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment0to12weeks,315.0
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,Count_WaitingForTreatment0to18weeks,315.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForAssessment,460.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment,460.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment0to2weeks,230.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment0to4weeks,425.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment0to6weeks,460.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment0to12weeks,460.0
NHS WEST YORKSHIRE ICB - 02T,Count_WaitingForTreatment0to18weeks,460.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForAssessment,1200.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForAssessmentOver90days,390.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment,925.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment0to2weeks,355.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment0to4weeks,660.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment0to6weeks,740.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment0to12weeks,800.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatment0to18weeks,815.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatmentOver18weeks,110.0
NHS SOUTH YORKSHIRE ICB - 02X,Count_WaitingForTreatmentOver90days,125.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForAssessment,505.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForAssessmentOver90days,125.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment,930.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment0to2weeks,260.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment0to4weeks,370.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment0to6weeks,455.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment0to12weeks,600.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatment0to18weeks,670.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatmentOver18weeks,260.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,Count_WaitingForTreatmentOver90days,320.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForAssessment,310.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForAssessmentOver90days,5.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment,305.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment0to2weeks,270.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment0to4weeks,285.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment0to6weeks,295.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment0to12weeks,305.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,Count_WaitingForTreatment0to18weeks,305.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForAssessment,475.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForAssessmentOver90days,60.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment,465.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment0to2weeks,205.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment0to4weeks,305.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment0to6weeks,350.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment0to12weeks,405.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatment0to18weeks,430.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatmentOver18weeks,35.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,Count_WaitingForTreatmentOver90days,55.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForAssessment,470.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForAssessmentOver90days,230.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment,330.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment0to2weeks,175.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment0to4weeks,220.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment0to6weeks,230.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment0to12weeks,235.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatment0to18weeks,245.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatmentOver18weeks,90.0
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,Count_WaitingForTreatmentOver90days,95.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForAssessment,1010.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForAssessmentOver90days,440.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment,805.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment0to2weeks,335.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment0to4weeks,490.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment0to6weeks,535.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment0to12weeks,570.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatment0to18weeks,580.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatmentOver18weeks,225.0
NHS SOUTH YORKSHIRE ICB - 03L,Count_WaitingForTreatmentOver90days,230.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForAssessment,1510.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForAssessmentOver90days,10.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForTreatment,1540.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForTreatment0to2weeks,805.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForTreatment0to4weeks,1335.0
NHS SOUTH YORKSHIRE ICB - 03N,Count_WaitingForTreatment0to6weeks,1465.0
